node	sp	condition	size	dum	ten	sar	bic	mim	lin
N1015	dum	A	11	11	0	0	0	0	0
N1024	dum	B	181	176	5	0	0	0	0
N1026	dum	C	599	102	46	129	148	46	128
N1027	dum	B	76	70	6	0	0	0	0
N1101	dum	B	20	18	2	0	0	0	0
N1168	dum	C	2210	1480	623	36	34	37	0
N1172	dum	B	26	25	1	0	0	0	0
N1287	dum	A	32	32	0	0	0	0	0
N1366	dum	C	37	34	1	1	1	0	0
N1492	dum	B	144	88	56	0	0	0	0
N1591	dum	B	35	33	2	0	0	0	0
N1592	dum	B	50	42	8	0	0	0	0
N1593	dum	B	228	221	7	0	0	0	0
N1595	dum	C	411	121	65	98	77	10	40
N1613	dum	C	153	50	24	30	24	4	21
N1710	dum	B	123	116	7	0	0	0	0
N176	dum	B	124	120	4	0	0	0	0
N1784	dum	B	47	29	18	0	0	0	0
N1802	dum	B	157	155	2	0	0	0	0
N1839	dum	C	58	26	11	15	6	0	0
N1844	dum	C	13726	5541	4788	795	1575	516	511
N2110	dum	B	66	51	15	0	0	0	0
N2128	dum	B	296	289	7	0	0	0	0
N219	dum	B	363	276	87	0	0	0	0
N2368	dum	B	20	19	1	0	0	0	0
N2469	dum	B	21	20	1	0	0	0	0
N2472	dum	B	35	34	1	0	0	0	0
N254	dum	B	200	106	94	0	0	0	0
N2639	dum	B	205	177	28	0	0	0	0
N2683	dum	B	24	22	2	0	0	0	0
N2707	dum	B	110	109	1	0	0	0	0
N304	dum	A	8	8	0	0	0	0	0
N305	dum	A	51	51	0	0	0	0	0
N3146	dum	B	16	15	1	0	0	0	0
N3408	dum	B	245	148	97	0	0	0	0
N3441	dum	C	2903	996	361	52	51	1443	0
N3532	dum	B	1065	581	484	0	0	0	0
N3900	dum	B	17	16	1	0	0	0	0
N4012	dum	B	57	56	1	0	0	0	0
N4276	dum	A	13	13	0	0	0	0	0
N4289	dum	B	13	12	1	0	0	0	0
N4434	dum	C	43	33	5	4	1	0	0
N4498	dum	B	23	22	1	0	0	0	0
N4529	dum	B	199	137	62	0	0	0	0
N4596	dum	B	63	45	18	0	0	0	0
N4681	dum	B	41	23	18	0	0	0	0
N4919	dum	C	382	222	127	13	14	6	0
N5216	dum	B	3579	1675	1904	0	0	0	0
N5278	dum	C	2041	1039	748	108	118	28	0
N5297	dum	B	1860	1293	567	0	0	0	0
N5374	dum	C	961	365	80	94	258	144	20
N5606	dum	C	6566	2247	1031	324	313	2328	323
N5693	dum	B	43	26	17	0	0	0	0
N5854	dum	C	9921	2009	2092	2742	1333	1183	562
N5975	dum	C	27	23	1	1	1	1	0
N6279	dum	B	55	53	2	0	0	0	0
N6283	dum	B	127	75	52	0	0	0	0
N6337	dum	B	5	3	2	0	0	0	0
N6383	dum	B	13	12	1	0	0	0	0
N640	dum	C	1803	1137	476	67	64	59	0
N6414	dum	C	235	126	58	15	13	22	1
N6415	dum	C	33	29	3	1	0	0	0
N6419	dum	B	37	33	4	0	0	0	0
N6492	dum	B	109	107	2	0	0	0	0
N6540	dum	C	795	324	164	119	66	106	16
N6575	dum	B	36	35	1	0	0	0	0
N6663	dum	B	557	555	2	0	0	0	0
N6713	dum	C	988	127	355	263	106	7	130
N6731	dum	A	15	15	0	0	0	0	0
N6802	dum	C	1840	772	875	14	14	88	77
N843	dum	C	903	402	172	86	85	148	10
N858	dum	C	708	424	54	37	7	181	5
N908	dum	C	89	46	3	1	7	30	2
N915	dum	B	1005	878	127	0	0	0	0
N988	dum	C	1887	940	876	34	37	0	0
N989	dum	C	782	357	180	103	130	12	0
N6829	ten	B	2367	747	1620	0	0	0	0
N6831	ten	A	49	0	49	0	0	0	0
N6839	ten	A	40	0	40	0	0	0	0
N6856	ten	C	143	5	137	1	0	0	0
N6866	ten	C	10940	3761	4165	0	2	179	2833
N6872	ten	A	26	0	26	0	0	0	0
N6874	ten	B	42	17	25	0	0	0	0
N6892	ten	B	134	29	105	0	0	0	0
N6905	ten	C	14314	7474	6622	60	73	85	0
N6914	ten	C	93	10	57	19	4	3	0
N6915	ten	B	155	45	110	0	0	0	0
N6931	ten	B	409	119	290	0	0	0	0
N6933	ten	C	401	54	103	54	126	64	0
N6990	ten	C	2922	1622	1252	16	24	8	0
N7015	ten	C	1577	210	1286	15	13	53	0
N7023	ten	C	1004	476	526	0	0	2	0
N7026	ten	C	14704	7735	6844	22	30	73	0
N7067	ten	C	319	100	196	5	8	10	0
N7074	ten	B	82	41	41	0	0	0	0
N7101	ten	A	51	0	51	0	0	0	0
N7122	ten	B	2579	551	2028	0	0	0	0
N7147	ten	C	406	31	374	0	1	0	0
N7188	ten	C	386	83	136	99	38	30	0
N7199	ten	C	202	65	108	9	17	3	0
N7289	ten	B	81	21	60	0	0	0	0
N7291	ten	B	486	221	265	0	0	0	0
N7355	ten	C	190	36	41	0	0	80	33
N7487	ten	C	2831	232	233	871	455	967	73
N7525	ten	C	890	277	362	1	1	4	245
N7683	ten	C	733	311	317	28	50	27	0
N7743	ten	B	3239	1430	1809	0	0	0	0
N7915	ten	B	5	2	3	0	0	0	0
N8116	ten	C	191	15	62	51	42	16	5
N8289	ten	B	131	12	119	0	0	0	0
N8360	ten	C	313	84	224	5	0	0	0
N8391	ten	B	64	1	63	0	0	0	0
N8439	ten	B	7	4	3	0	0	0	0
N8461	ten	C	190	72	73	7	14	14	10
N8484	ten	C	25	2	21	1	1	0	0
N8526	ten	B	6270	3944	2326	0	0	0	0
